,>35,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman
47278,0,3,1,1,31,25,Slovenia,85315.0,37,1,1,0,0
47279,1,3,0,1,15,12,Poland,88514.0,13,0,1,0,0
47280,1,2,1,1,10,6,Canada,145236.0,18,1,1,0,0
47281,1,2,1,1,9,9,Germany,74651.0,10,1,1,0,0
47282,0,4,1,1,15,9,United States of America,144144.0,4,0,1,0,0
47283,1,2,1,1,4,2,United States of America,65000.0,15,1,1,0,0
47284,1,2,1,1,20,15,United States of America,210000.0,12,1,1,0,0
47285,1,0,1,1,6,3,United States of America,135000.0,9,0,0,0,1
47286,1,3,0,1,18,13,Germany,140772.0,8,0,1,0,0
47287,0,3,1,1,27,16,United Kingdom of Great Britain and Northern Ireland,75384.0,10,1,1,0,0
47288,0,3,1,1,14,14,United States of America,118000.0,18,1,0,0,1
47289,1,2,1,1,9,8,United States of America,175000.0,10,0,1,0,0
47290,0,4,1,0,4,1,United States of America,87000.0,2,0,1,0,0
47291,0,3,1,1,12,12,India,18576.0,29,1,1,0,0
47292,1,4,1,1,8,4,Netherlands,38388.0,7,0,1,0,0
47293,0,2,1,1,30,24,United States of America,175000.0,21,1,1,0,0
47294,1,2,1,1,10,6,Brazil,11712.0,6,0,0,0,1
47295,1,2,1,1,4,3,Nigeria,79824.0,10,0,1,0,0
47296,1,2,1,1,12,4,United States of America,110000.0,15,0,1,0,0
47297,1,2,1,1,15,10,"Iran, Islamic Republic of...",29550.0,7,0,1,0,0
47298,0,3,1,0,20,15,Norway,90224.0,5,0,1,0,0
47299,1,2,1,1,20,6,South Africa,45516.0,5,0,0,0,1
47300,1,2,1,1,8,3,Canada,85893.0,27,1,1,0,0
47301,1,2,1,1,3,1,Nepal,3384.0,10,0,1,0,0
47302,1,2,1,1,6,4,India,7738.0,20,1,1,0,0
47303,1,2,1,1,10,2,Brazil,13503.0,13,0,1,0,0
47304,0,2,1,0,7,5,United States of America,120000.0,22,1,1,0,0
47305,1,2,1,1,11,6,Bolivia,6984.0,7,0,1,0,0
47306,1,3,1,1,17,10,United States of America,165000.0,7,1,1,0,0
47307,1,0,1,1,6,3,Bulgaria,32712.0,27,1,1,0,0
47308,1,2,1,1,8,4,Sweden,48756.0,9,1,1,0,0
47309,1,2,1,1,14,12,United States of America,113000.0,13,1,1,0,0
47310,1,0,1,1,3,1,"Iran, Islamic Republic of...",32616.0,10,0,1,0,0
47311,0,3,1,1,16,14,Spain,43724.0,12,1,1,0,0
47312,1,0,1,1,6,2,United States of America,24000.0,26,1,0,0,1
47313,1,2,1,1,3,3,Turkey,33828.0,7,0,1,0,0
47314,1,2,0,0,13,4,United Kingdom of Great Britain and Northern Ireland,10050.0,7,0,1,0,0
47315,1,2,0,1,3,0,France,44796.0,23,1,1,0,0
47316,1,1,1,1,13,7,Paraguay,29856.0,48,1,1,0,0
47317,1,2,0,1,5,2,Mexico,5424.0,16,1,1,0,0
47318,1,2,1,0,10,8,Israel,107616.0,10,0,1,0,0
47319,0,2,1,1,20,17,Canada,56220.0,18,1,1,0,0
47320,0,2,1,1,17,11,Canada,85893.0,14,0,1,0,0
