,>35,EdLevel,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed
33975,0,3,1,33,28,91883.0,10,0
30103,1,1,1,17,4,31128.0,9,0
7588,0,1,1,43,24,73491.0,16,1
611,1,0,1,7,6,9072.0,21,1
10407,1,3,1,22,8,44628.0,4,0
21303,1,3,1,10,8,19546.0,9,0
29398,1,2,1,10,3,22701.0,14,1
9568,1,3,1,10,0,32315.0,7,0
59818,1,2,1,7,3,26661.0,11,1
10149,1,2,1,21,9,150000.0,10,0
35407,1,2,1,9,7,4200.0,27,1
340,1,2,1,3,2,22512.0,5,0
32997,0,3,1,42,37,195000.0,5,0
8603,0,2,1,24,21,69637.0,13,1
8741,1,2,1,10,3,75000.0,12,1
60862,1,2,1,9,5,33801.0,10,0
50332,1,2,1,7,3,114851.0,21,0
33407,1,3,0,20,8,77831.0,4,0
14050,0,2,1,4,4,105000.0,16,0
29003,1,3,1,5,0,25944.0,8,0
32494,0,3,1,20,16,83770.0,19,1
55255,1,2,1,3,1,19346.0,14,1
18292,0,3,1,24,16,32316.0,23,1
32644,0,0,1,30,15,41077.0,35,1
18167,1,2,1,15,3,46533.0,9,0
65496,0,3,1,18,15,82884.0,20,1
7389,0,2,1,25,20,193889.0,8,0
60706,1,2,1,10,6,63986.0,24,1
25046,1,2,1,8,3,102000.0,11,1
58538,1,2,1,5,2,22860.0,11,0
27809,1,3,1,15,8,38688.0,9,0
11040,1,2,1,5,2,86976.0,29,1
12985,0,2,1,30,28,41508.0,9,0
30285,1,2,1,8,4,72000.0,11,0
19682,1,2,1,7,3,30018.0,11,0
43911,1,3,1,13,10,63986.0,6,0
65216,0,1,1,15,15,95000.0,0,0
64220,0,2,1,20,11,210000.0,8,0
37838,0,1,1,15,10,37834.0,12,0
57,0,3,1,30,25,59454.0,10,1
62746,1,1,1,8,3,31489.0,13,1
37151,1,3,1,8,3,140000.0,13,1
5509,0,3,1,30,18,102693.0,7,0
54113,1,2,1,9,6,69102.0,13,1
18388,1,1,1,11,8,15528.0,17,1
7039,1,4,1,4,3,122580.0,9,0
40331,1,3,1,12,7,53901.0,3,0
12680,1,2,1,11,7,71885.0,14,1
29781,1,3,1,7,6,53184.0,12,0
62294,0,2,1,20,15,120000.0,11,0
66020,0,2,1,18,16,57147.0,14,1
37437,1,3,1,11,3,155000.0,19,1
38631,0,2,0,25,15,84019.0,9,0
66715,1,0,1,9,4,17916.0,8,1
49635,1,3,1,8,2,63986.0,24,1
15340,1,4,1,10,10,73944.0,26,1
69391,1,1,0,8,5,51192.0,13,1
5427,0,1,1,42,40,142692.0,12,1
48946,1,2,1,7,4,1197.0,15,1
6136,1,1,1,3,2,21264.0,10,0
48612,0,2,1,28,24,57588.0,6,0
28869,1,2,0,5,1,4656.0,7,0
35611,1,1,1,5,3,1980.0,14,0
42962,1,2,1,6,4,6348.0,11,1
8421,1,3,1,13,9,45396.0,10,0
63895,1,2,1,17,13,200000.0,15,1
68041,1,2,1,5,5,8328.0,15,0
46431,1,2,1,13,5,62316.0,9,0
69421,0,1,1,20,13,8.0,12,0
69311,1,2,1,5,2,27756.0,15,0
32933,1,2,1,4,1,28105.0,7,0
68263,1,2,1,11,5,106157.0,19,0
66738,1,3,1,13,8,74651.0,21,1
9212,0,1,1,35,13,51704.0,5,0
49301,0,3,1,20,15,78013.0,7,1
24051,0,3,1,40,27,106895.0,18,1
37202,0,4,1,13,6,121010.0,10,0
39308,1,2,1,10,3,98321.0,13,0
31232,1,1,1,18,14,155664.0,39,1
19332,1,2,1,11,8,54049.0,11,1
14582,1,1,1,11,3,9108.0,13,1
63104,1,2,1,4,0,10872.0,25,1
53083,1,2,1,10,4,7476.0,14,1
32944,0,2,0,30,25,20682.0,10,0
37751,1,1,0,5,2,16860.0,20,1
44665,1,2,0,10,6,58165.0,10,0
14889,1,2,1,11,5,195000.0,22,1
36668,1,2,1,6,5,13224.0,15,1
2981,0,3,1,15,10,143000.0,13,1
57160,0,2,1,7,6,21936.0,12,0
56140,1,3,1,16,4,63986.0,14,1
9985,1,2,1,5,0,4188.0,20,1
35108,0,3,0,20,15,12000.0,11,0
56425,0,3,1,10,6,48999.0,6,0
62044,1,2,1,8,4,90539.0,9,0
34089,1,4,1,17,11,62820.0,15,0
3992,0,1,1,32,29,138553.0,9,1
1057,1,2,1,7,0,10020.0,16,0
68157,1,0,1,4,3,36372.0,13,1
49584,1,3,0,6,5,5568.0,3,0
20837,0,2,1,15,13,64859.0,12,1
24485,1,0,1,12,4,53184.0,11,0
45374,0,3,1,14,10,174000.0,15,1
4645,0,2,1,37,20,120000.0,24,1
29487,1,2,1,15,7,62916.0,14,1
18272,0,2,1,34,32,30156.0,22,1
67839,1,3,1,7,5,82116.0,12,1
29513,0,2,1,34,34,77832.0,15,0
1476,1,1,1,8,6,32315.0,14,0
19418,1,1,1,12,9,25296.0,9,1
13521,0,3,1,27,20,77831.0,11,1
51482,1,2,1,4,1,24600.0,7,0
28847,1,2,1,2,1,5448.0,13,1
53495,1,3,1,15,8,25980.0,12,1
51131,1,2,1,10,4,96742.0,20,1
33030,0,0,1,8,4,53184.0,15,1
36005,0,2,1,40,27,150000.0,14,1
53311,1,1,1,4,3,28368.0,13,0
10724,1,1,1,4,3,86976.0,14,1
67760,1,2,1,6,3,105000.0,16,1
53400,1,3,0,10,6,168.0,13,0
7724,0,1,1,10,6,94539.0,18,0
23354,1,1,1,12,9,36000.0,17,1
59140,1,2,1,9,4,36.0,19,1
33708,1,3,1,6,4,12564.0,16,0
56154,0,1,1,12,9,215232.0,6,0
26400,0,2,1,25,15,134000.0,11,0
45061,0,3,1,20,15,80529.0,19,1
50537,0,2,1,5,0,45000.0,7,0
63237,1,2,1,9,2,59050.0,15,1
66231,1,2,1,7,3,58563.0,13,1
35346,1,2,1,6,2,5928.0,40,1
44635,1,2,1,12,6,38388.0,30,1
1193,0,3,1,14,12,168636.0,13,1
35232,1,2,1,11,7,51888.0,22,0
32802,0,2,1,14,10,14016.0,8,1
31864,1,0,0,6,3,41460.0,9,0
39709,1,2,1,25,7,58368.0,11,0
67189,0,2,1,36,32,31176.0,8,0
56082,1,2,1,11,10,40800.0,13,1
38521,0,3,1,24,15,70264.0,5,0
38200,1,2,1,11,8,91000.0,21,1
66572,1,3,1,10,7,15036.0,2,0
21418,1,1,1,5,6,11028.0,11,1
5728,1,1,1,7,3,68102.0,15,1
37400,0,0,1,25,15,73956.0,10,1
1621,1,2,1,24,12,20943.0,32,1
9684,1,2,1,7,3,43948.0,10,0
50635,0,3,1,8,6,185000.0,20,1
7083,0,4,0,23,14,43948.0,18,1
31587,0,2,1,20,17,26640.0,13,0
21133,1,2,1,20,12,59454.0,23,1
11873,0,3,0,26,7,75669.0,14,1
57996,0,3,1,18,10,114076.0,9,1
27856,1,1,1,4,2,12720.0,4,0
4808,1,1,0,4,3,64859.0,14,1
29711,0,1,1,30,25,180000.0,2,0
32056,1,2,1,15,6,82276.0,15,1
55139,1,2,1,4,1,17952.0,7,0
32814,1,1,1,3,2,11450.0,7,1
29946,1,1,1,5,3,5616.0,15,1
54063,1,1,1,5,4,34140.0,7,0
778,1,3,1,13,10,90758.0,14,0
62632,0,1,1,33,31,15000.0,11,1
57539,1,2,1,11,8,145000.0,17,1
69977,1,4,1,20,14,60307.0,28,1
2294,0,2,1,22,17,30267.0,9,1
16507,1,2,1,13,10,25128.0,20,1
31305,1,3,1,14,6,35340.0,10,0
13519,0,1,1,30,25,11676.0,9,1
9620,0,1,1,30,12,110000.0,19,1
4881,1,2,1,7,4,48480.0,17,1
61750,0,1,1,23,14,93701.0,17,0
53352,0,3,1,17,11,95979.0,10,0
63882,0,1,1,28,24,29916.0,8,0
20389,0,3,1,26,21,95976.0,10,0
55975,0,2,1,26,7,39050.0,9,0
41963,1,2,1,10,8,200000.0,11,1
14389,0,1,0,38,22,98321.0,16,1
60824,1,2,1,12,4,48999.0,8,0
69613,1,2,1,7,5,96000.0,18,1
55392,1,3,0,16,9,77850.0,18,1
67809,1,2,1,12,8,68599.0,29,1
36488,1,3,1,11,6,30372.0,19,1
48288,0,4,0,40,30,49860.0,2,0
33176,0,2,1,12,10,110000.0,12,0
53640,1,1,1,15,5,124103.0,8,0
53,0,3,1,27,16,200000.0,19,1
33979,0,1,1,16,10,86844.0,17,1
18180,1,2,1,10,6,120000.0,16,0
17702,0,3,1,23,11,70337.0,12,1
58749,0,2,1,28,13,89016.0,15,1
67900,0,2,1,19,14,96000.0,13,1
3939,1,1,1,14,2,50000.0,9,1
51715,1,2,1,14,10,60948.0,24,1
11454,1,3,1,13,4,32906.0,5,0
22348,0,1,0,35,20,116748.0,15,1
44490,0,2,1,18,15,36693.0,13,1
53330,0,3,1,25,15,53322.0,34,1
35241,1,2,1,3,2,49119.0,9,0
61206,1,3,1,15,9,51189.0,16,1
40693,1,1,0,12,5,49944.0,7,0
41253,0,2,1,32,23,120000.0,10,1
60685,0,2,1,12,6,199940.0,8,0
28315,1,1,1,6,2,13326.0,12,1
52896,0,3,1,25,18,83093.0,18,1
4518,0,2,1,15,6,62293.0,13,1
37788,1,3,1,8,4,52548.0,3,0
40688,1,3,1,9,5,32424.0,16,1
35728,1,3,1,10,7,45887.0,5,0
49298,0,3,1,17,14,51192.0,11,1
41868,1,2,1,13,9,122640.0,8,0
58664,1,1,1,10,1,83182.0,15,1
6100,1,3,1,11,5,23388.0,10,0
26076,0,4,1,21,7,150000.0,9,0
40153,1,2,1,7,5,13740.0,20,1
14788,1,2,1,2,1,60000.0,14,0
29200,1,3,1,9,7,27840.0,21,1
6967,1,2,1,13,5,50940.0,17,1
69162,1,3,1,10,4,59050.0,11,1
10587,1,1,1,20,14,19464.0,21,1
392,1,2,1,12,8,66500.0,12,0
16184,1,3,1,7,4,40212.0,19,1
30731,0,2,1,40,35,120000.0,12,1
11261,1,2,1,9,5,20943.0,9,0
1738,1,2,1,9,3,75669.0,12,1
34951,1,2,1,17,9,42000.0,29,1
63373,1,3,1,13,5,13542.0,9,0
10259,0,2,1,10,8,150000.0,21,1
